H01|030402|2000015404|2021-12-31|TAPUGDS|01|0|
D01|0101010101010000|20|300000
D01|0101010101020000|20|300000
D01|0101010102010000|20|300000
D01|0101010102020000|20|300000
D01|0101010201000000|20|300000
D01|0101010202000000|20|300000
D01|0101020101010000|20|300000
D01|0101020101020000|20|300000
D01|0101020101030000|20|300000
D01|0101020102010100|20|300000
D01|0101020102010200|20|300000
D01|0101020102020100|20|300000
D01|0101020102020200|20|300000
D01|0101020201010000|20|300000
D01|0101020201020000|20|300000
D01|0101020202010000|20|300000
D01|0101020202020000|20|300000
D01|0101020301010000|20|300000
D01|0101020301020000|20|300000
D01|0101020302010000|20|300000
D01|0101020302020000|20|300000
D01|0102010000000000|20|300000
D01|0102020000000000|20|300000
D01|0102030000000000|20|300000
D01|0102040000000000|20|300000
D01|0102050000000000|20|300000
D01|0102060000000000|20|300000
D01|0103010100000000|20|300000
D01|0103010200000000|20|300000
D01|0103010301000000|20|300000
D01|0103010302000000|20|300000
D01|0103020100000000|20|300000
D01|0103020200000000|20|300000
D01|0103020300000000|20|300000
D01|0103020401000000|20|300000
D01|0103020402000000|20|300000
D01|0103020403000000|20|300000
