H01|031401|251030|2021-12-31|RBPPK|040401|2|TEST-04-RBPPK-4Net
D01|04040101010000|18000|18000|18000|18000
D01|04040101010100|1000|1000|1000|1000
D01|04040101010200|1000|1000|1000|1000
D01|04040101010300|1000|1000|1000|1000
D01|04040101010400|1000|1000|1000|1000
D01|04040101010500|1000|1000|1000|1000
D01|04040101010600|1000|1000|1000|1000
D01|04040101010700|1000|1000|1000|1000
D01|04040101010800|1000|1000|1000|1000
D01|04040101010900|1000|1000|1000|1000
D01|04040101011000|1000|1000|1000|1000
D01|04040101011100|1000|1000|1000|1000
D01|04040101011200|1000|1000|1000|1000
D01|04040101011300|1000|1000|1000|1000
D01|04040101011400|1000|1000|1000|1000
D01|04040101011500|1000|1000|1000|1000
D01|04040101011600|500|500|500|500
D01|04040101011700|500|500|500|500
D01|04040101011800|500|500|500|500
D01|04040101011900|500|500|500|500
D01|04040101012000|500|500|500|500
D01|04040101012100|500|500|500|500
D01|04040101020000|2696|2498|2498|2498
D01|04040101020100|2422|2322|2322|2322
D01|04040101020200|274|176|176|176
D01|04040101030000|20696|20498|20498|20498
D01|04040102010000|170179|170179|170179|170179
D01|04040102010100|2332|2332|2332|2332
D01|04040102010200|2332|2332|2332|2332
D01|04040102010300|2332|2332|2332|2332
D01|04040102010400|2332|2332|2332|2332
D01|04040102010500|2332|2332|2332|2332
D01|04040102010600|2332|2332|2332|2332
D01|04040102010700|2332|2332|2332|2332
D01|04040102010800|2332|2332|2332|2332
D01|04040102010900|12332|12332|12332|12332
D01|04040102011000|12332|12332|12332|12332
D01|04040102011100|12332|12332|12332|12332
D01|04040102011200|12332|12332|12332|12332
D01|04040102011300|12332|12332|12332|12332
D01|04040102011400|12332|12332|12332|12332
D01|04040102011500|12332|12332|12332|12332
D01|04040102011600|12139|12139|12139|12139
D01|04040102011700|11032|11032|11032|11032
D01|04040102011800|11032|11032|11032|11032
D01|04040102011900|10332|10332|10332|10332
D01|04040102012000|10332|10332|10332|10332
D01|04040102012100|10332|10332|10332|10332
D01|04040102020000|30056|30056|30056|30056
D01|04040102020100|16634|16634|16634|16634
D01|04040102020200|13422|13422|13422|13422
D01|04040102030000|200235|200235|200235|200235
