H01|031204|2000000041|2020-12-31|LBASRJS|600|0|
D01|7001010000|4|4|0|5|5|5|5
D01|7001020000|5|5|0|5|5|5|5
D01|7001000000|6|6|0|5|5|5|5
D01|7002000099|7|7|0|5|5|5|5
D01|7002010000|8|8|0|5|5|5|5
D01|7002020000|9|9|0|5|5|5|5
D01|7002030000|10|4|6|5|5|5|5
D01|7002000000|11|11|0|5|5|5|5
D01|7003000099|12|12|0|5|5|5|5
D01|7003010000|13|4|9|5|5|5|5
D01|7003020000|14|14|0|5|5|5|5
D01|7003000000|15|4|11|5|5|5|5
D01|7004000099|16|16|0|5|5|5|5
D01|7004010000|17|17|0|5|5|5|5
D01|7004020000|18|4|14|5|5|5|5
D01|7004030000|19|19|0|5|5|5|5
D01|7004040000|20|20|0|5|5|5|5
D01|7004050000|21|21|0||||
D01|7004060000|225|185|40|85|85|85|85
D01|7004000000|4|4|0|4|4|4|4
D01|7005000000|4|4|0|4|4|4|4
D01|1400000000|4|4|0|4|4|4|4
D01|7006000099|4|4|0|4|4|4|4
D01|3000000000|4|4|0|4|4|4|4
D01|7006010000|4|4|0|4|4|4|4
D01|7006000000|4|4|0|4|4|4|4
D01|7007000099|4|4|0||||
D01|7002000098|32|32|0|28|28|28|28
D01|7007010000|257|217|40|113|113|113|113
