H01|031204|2000000041|2020-12-31|LBASRJS|200|0|
D01|4101010000|1|2|2|2|2|2|7
D01|4101020000|1|2|2|2|2|2|7
D01|4101000000|2|0|0|0|0|2|0
D01|4102000000|2|||||2|0
D01|4100000000|4|0|0|0|0|2|2
D01|4201000000|2|2|2|2|2|2|8
D01|4202000000|2|2|2|||2|4
D01|4200000000|0|0|0|2|2|2|2
D01|4400000099||3|3|||3|3
D01|4401000000||3|3|||3|3
D01|4402000000||3|3|||3|3
D01|4403000000||9|9|||3|15
D01|4400000000|0|9|9|||3|15
D01|5400000099||4|4|||4|4
D01|5401000099||4|4|||4|4
D01|5401010000||4|4|||4|4
D01|5401020000||||4|4|4|4
D01|5401030000||||4|4|4|4
D01|5401000000||4|4|8|8|4|20
D01|5402000000||4|4|||4|4
D01|5400000000||8|8|||4|12
D01|5500000000||1|1|||4|-2
D01|5600000000|4|4|4|||4|8
D01|5700000099||4|4|4|4|4|12
D01|5702000099|4|||||4|0
D01|5702010000|4|||||4|0
D01|5702020000|12||||||12
D01|5702030000|4|||||5|-1
D01|5703000000|4|||||5|-1
D01|5704000000|4|||||5|-1
D01|5700000000|4|||||5|-1
D01|5801000000|4|||||5|-1
D01|5802000000|28|||||5|23
D01|5803000000|-20|-7|-7|-2|-2|5|-43
D01|5804000000|5|5|5|||5|10
D01|5805000000|5|5|5|5|5|5|20
D01|5806000000|-20|-7|-7|-7|-7|5|-53
D01|5800000000|5|5|5|5|5|5|20
D01|5800000001|-25|-12|-12|-12|-12|5|-78
D01|5800000002|5|5|5|5|5|5|20
D01|5800000003|-20|-7|-7|-7|-7|5|-53
