H01|031204|2000000041|2020-12-31|LBASRJS|606|0|
D01|6061010099|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|22|22
D01|6061010100|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|33|33
D01|6061010101|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|44|44
D01|6061010102|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|22|22
D01|6061010103|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|121|121
D01|6061010104|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|44|44
D01|6061010105|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|44|44
D01|6061010106|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|44|44
D01|6061010107|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|44|44
D01|6061010108|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|44|44
D01|6061010109|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|44|44
D01|6061010110|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|264|264
D01|6061010111|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-13|-143|-143
