H01|031202|2000000021|2021-08-31|LBASRUK|110|2|TEST-02-LBASRUK-4Net
D01|1400100100|TRD|01||EKW||194823319|208691921885|208886745204|0|208886745204|208886745204
D01|1400100100|TRD|01||EKW||354382507|130691209778|131045592285|0|131045592285|131045592285
D01|1400100100|TRD|01||EKW||7621659143|911935364|0|8533594507|8533594507|8533594507
D01|1400100100|TRD|01||EKW||69989278733|23329759578|54779898830|38539139480|93319038310|10937004989
D01|1400100100|TRD|02|nama 1|LO_IDN|1|||||0|42928748187
D01|1400100100|TRD|02|nama 2|LO_IDN|1|||||0|15396928982
D01|1400100100|TRD|02|nama 3|LO_IDN|1|||||0|16844160811
D01|1400100100|TRD|02|nama 4|LO_IDN|1||||3392821925988|3392821925988|419807612580
D01|1400100100|TRD|03|nama 5|LO_IDN|1|||||0|129731241081
D01|1400100100|TRD|03|nama 6|LO_IDN|1|||||0|52504280
D01|1400100100|TRD|03|nama 7|LO_IDN|1|||||0|775310089618
D01|1400100100|TRD|03|nama 8|LO_e1|1|||||0|6512791132
D01|1400100100|TRD|03|nama 9|LO_e1|2|||||0|6555982167
D01|1400100100|TRD|03|nama 10|LO_e1|3|||||0|6224520361
D01|1400100100|TRD|03|nama 11|LO_e1|3|||||0|107500288933
D01|1400100100|PYD|04||LFT||||||0|24109365505
D01|1400100100|PYD|04||LFT||||||0|770203880
D01|1400100100|PYD|04||LFT||||||0|77861430615
D01|1400100100|PYD|05|BIAYA YANG MASIH HARUS DIBAYAR|DWG||||||0|0
D01|1400100100|PYD|99|Kewajiban Imbalan Kerja|DWG||||||0|0
D01|1400100100|PYD|99|Utang Lancar Lainnya|DWG||||||0|0
D01|1400100100|PYD|99|Utang Lain-lain|DWG||||||0|0
D01|1400100100|PYD|99|Kewajiban Pajak Tangguhan|DWG||||||0|0
D01|1400100200||||||78160143702|363624826605|394712236319|3439894659975|3834606896294|1989008805117
