H01|030403|2500000099|2026-01-31|LBPPNJU|0000|2|TEST-LBPPNJU
D01|000001010000|PT. Pegadaian Indonesia
D01|000001020000|716863428012000
D01|000001030000|Jakarta
D01|000001040000|LO:e1101
D01|000001050000|12345
D01|000001060000|EN:e1
D01|000001070000|EN:e6
D01|000001080000|20240131
D01|000001090000|AK:e51
D01|000001090000|AK:e51
D01|000002010000|3
D01|000002020000|2
D01|000002030000|1
D01|000002040000|asdfghh
D01|000003010000|1
D01|000003020000|3
D01|000003030000|3
D01|000004000000|150
D01|000004010000|20
D01|000004020000|30
D01|000004030000|100
D01|000005010100|asdfgh
D01|000005010200|asdfgh
D01|000005010300|1234567
D01|000005010400|0123456789
D01|000005010500|email@email.com
D01|000005020100|asdfgh
D01|000005020200|asdfgh
D01|000005020300|1234567
D01|000005020400|0123456789
D01|000005020500|email@email.com
