H01|030417|999998|2025-12-31|LBFINS|2907|0|
D01|290701000000|1500|561080
D01|290701010000|900|278080
D01|290701010100|0|14000
D01|290701010200|0|124880
D01|290701010201|0|56000
D01|290701010202|0|56880
D01|290701010203|0|12000
D01|290701030300|700|115100
D01|290701030301|200|12000
D01|290701030302|100|14000
D01|290701030303|100|45000
D01|290701030304|100|32000
D01|290701030305|100|100
D01|290701030306|100|12000
D01|290701040400|100|1100
D01|290701050500|100|23000
D01|290701020000|600|283000
D01|290701020100|100|43000
D01|290701020200|100|15000
D01|290701020300|400|210000
D01|290701020301|100|30000
D01|290701020302|200|35000
D01|290701020303|100|10000
D01|290701020304|0|15000
D01|290701020305|0|120000
D01|290701020400|0|15000
D01|290702000000|264449|1000
D01|290702010000|4444|444
D01|290702010100|2222|222
D01|290702010200|2222|222
D01|290702020000|260005|556
D01|290702020100|18200|222
D01|290702020200|241805|334
