H01|031205|2000000051|2020-12-31|LBASRUS|211|2|TEST-02-LBASRUS-4Net
D01|2111000001|279087271|279107561|279107583||12012870|12013926|12013926
D01|2111000003|12134123|12134123|12134123|0.00|0|0|0
D01|2111000004|60670615|60670615|60670615||2402557|2402557|2402557
D01|2111000005|12134123|12134123|12134123|1.20|145609|145609|145609
D01|2111000006|12134123|12134123|12134123|2.10|254817|254817|254817
D01|2111000007|12134123|12134123|12134123|3.00|364024|364024|364024
D01|2111000008|12134123|12134123|12134123|4.50|546036|546036|546036
D01|2111000009|12134123|12134123|12134123|9.00|1092071|1092071|1092071
D01|2111000010|60670615|60670615|60670615||3203408|3203408|3203408
D01|2111000011|12134123|12134123|12134123|1.60|194146|194146|194146
D01|2111000012|12134123|12134123|12134123|2.80|339755|339755|339755
D01|2111000013|12134123|12134123|12134123|4.00|485365|485365|485365
D01|2111000014|12134123|12134123|12134123|6.00|728047|728047|728047
D01|2111000015|12134123|12134123|12134123|12.00|1456095|1456095|1456095
D01|2111000016|60670615|60670615|60670615||3203408|3203408|3203408
D01|2111000017|12134123|12134123|12134123|1.60|194146|194146|194146
D01|2111000018|12134123|12134123|12134123|2.80|339755|339755|339755
D01|2111000019|12134123|12134123|12134123|4.00|485365|485365|485365
D01|2111000020|12134123|12134123|12134123|6.00|728047|728047|728047
D01|2111000021|12134123|12134123|12134123|12.00|1456095|1456095|1456095
D01|2111000022|12134123|12134123|12134123|0.00|0|0|0
D01|2111000023|12134123|12134123|12134123|0.00|0|0|0
D01|2111000024|60670615|60670615|60670615||3203408|3203408|3203408
D01|2111000025|12134123|12134123|12134123|1.60|194146|194146|194146
D01|2111000026|12134123|12134123|12134123|2.80|339755|339755|339755
D01|2111000027|12134123|12134123|12134123|4.00|485365|485365|485365
D01|2111000028|12134123|12134123|12134123|6.00|728047|728047|728047
D01|2111000029|12134123|12134123|12134123|12.00|1456095|1456095|1456095
D01|2111000030|22|33|44|0.00|0|0|0
D01|2111000031|22|33|44|1.00|0|0|0
D01|2111000032|1732|16000|16000||62|576|576
D01|2111000033|433|4000|4000|1.60|7|64|64
D01|2111000034|433|4000|4000|2.80|12|112|112
D01|2111000035|433|4000|4000|4.00|17|160|160
D01|2111000036|433|4000|4000|6.00|26|240|240
D01|2111000037|222|6666|6666||12|569|569
D01|2111000038|0|0|0||0|0|0
D01|2111000039|0|0|0|2.80|0|0|0
D01|2111000040|0|0|0|4.00|0|0|0
D01|2111000041|222|4444|4444||12|302|302
D01|2111000042|222|2222|2222|5.60|12|124|124
D01|2111000043|0|2222|2222|8.00|0|178|178
D01|2111000044|0|2222|2222|12.00|0|267|267
D01|2111000045|444|0|0||15|0|0
D01|2111000046|0|0|0|1.60|0|0|0
D01|2111000047|222|0|0|2.80|6|0|0
D01|2111000048|222|0|0|4.00|9|0|0
D01|2111000049|0|0|0|6.00|0|0|0
D01|2111000050|0|0|0|12.00|0|0|0
D01|2111000051|206283759|206726849|206725148||14828061|14881246|14881245
D01|2111000052|12134123|12134123|12134123|0.00|0|0|0
D01|2111000053|12134123|12134123|12134123|8.00|970730|970730|970730
D01|2111000054|333|2277|610||33|17|17
D01|2111000055|222|2222|555|0.00|0|0|0
D01|2111000056|111|55|55|30.00|33|17|17
D01|2111000057|3335|444481|444447||133|53334|53333
D01|2111000058|2|33|3|2.80|0|1|0
D01|2111000059|3333|444448|444444||133|53333|53333
D01|2111000060|0|0|0|2.80|0|0|0
D01|2111000061|3333|4|0|4.00|133|0|0
D01|2111000062|0|0|0|6.00|0|0|0
D01|2111000063|0|444444|444444|12.00|0|53333|53333
D01|2111000064|0|0|0|15.00|0|0|0
D01|2111000065|72804738|72804738|72804738||5169135|5169135|5169135
D01|2111000066|12134123|12134123|12134123|2.80|339755|339755|339755
D01|2111000067|60670615|60670615|60670615||4829380|4829380|4829380
D01|2111000068|12134123|12134123|12134123|2.80|339755|339755|339755
D01|2111000069|12134123|12134123|12134123|4.00|485365|485365|485365
D01|2111000070|12134123|12134123|12134123|6.00|728047|728047|728047
D01|2111000071|12134123|12134123|12134123|12.00|1456095|1456095|1456095
D01|2111000072|12134123|12134123|12134123|15.00|1820118|1820118|1820118
D01|2111000073|72804738|72804738|72804738||5169135|5169135|5169135
D01|2111000074|12134123|12134123|12134123|2.80|339755|339755|339755
D01|2111000075|60670615|60670615|60670615||4829380|4829380|4829380
D01|2111000076|12134123|12134123|12134123|2.80|339755|339755|339755
D01|2111000077|12134123|12134123|12134123|4.00|485365|485365|485365
D01|2111000078|12134123|12134123|12134123|6.00|728047|728047|728047
D01|2111000079|12134123|12134123|12134123|12.00|1456095|1456095|1456095
D01|2111000080|12134123|12134123|12134123|15.00|1820118|1820118|1820118
D01|2111000081|24268246|24268246|24268246||3276213|3276213|3276213
D01|2111000082|12134123|12134123|12134123|2.00|242682|242682|242682
D01|2111000083|12134123|12134123|12134123|25.00|3033531|3033531|3033531
D01|2111000084|12134123|12134123|12134123|2.00|242682|242682|242682
D01|2111000085|485371030|485834410|485832731||26840931|26895172|26895171
