H01|030416|999999|2025-12-31|LTFINK|1100|2|LTFINK-02
D01|110001010100|100
D01|110001010200|12
D01|110001010201|10
D01|110001010202|2
D01|110001010300|3
D01|110001010400|4
D01|110001010500|5
D01|110001010600|6
D01|110001010700|7
D01|110001010800|7
D01|110001010801|3
D01|110001010802|4
D01|110001010900|4
D01|110001020000|148
D01|110001030100|4
D01|110001030200|-4
D01|110001030300|4
D01|110001030400|4
D01|110001030500|4
D01|110001030600|3
D01|110001030700|20
D01|110001030701|4
D01|110001030702|16
D01|110001030800|4
D01|110001040000|39
D01|110002000000|187
D01|110003010100|23
D01|110003010200|23
D01|110003010300|57
D01|110003010301|23
D01|110003010302|34
D01|110003010400|34
D01|110003010500|12
D01|110003020000|149
D01|110003030100|36
D01|110003030101|34
D01|110003030102|2
D01|110003030200|3
D01|110003030300|4
D01|110003040000|43
D01|110004000000|192
D01|110005010000|3
D01|110005020000|4
D01|110005030000|1
D01|110005040000|5
D01|110005050000|-24
D01|110005060000|3
D01|110005070000|3
D01|110006000000|-5
D01|110007000000|187
