H01|031401|251030|2021-12-31|REPPK|010401|0|
D01|01040101000000|-4353336|-491722|3861614
D01|01040102000000|216720|1616160|1399440
D01|01040102010000|43344|323232|279888
D01|01040102020000|43344|323232|279888
D01|01040102030000|43344|323232|279888
D01|01040102040000|43344|323232|279888
D01|01040102050000|43344|323232|279888
D01|01040103000000|43344|323232|279888
D01|01040104000000|43344|323232|279888
D01|01040105000000|32323|2323|-30000
D01|01040106000000|106488585|10987666|-95500919
D01|01040107000000|30425285|612208|-29813077
D01|01040108000000|6464|46646|40182
D01|01040108010000|3232|23323|20091
D01|01040108020000|3232|23323|20091
D01|01040109000000|23.48|23.48|0.00
D01|01040110000000|23.49|23.49|0.00
D01|01040111000000|23.50|23.50|0.00
D01|01040112010000|23.52|23.52|0.00
D01|01040112020000|23.51|23.51|0.00
D01|01040112030000|23.53|23.53|0.00
D01|01040112040000|23.54|23.54|0.00
D01|01040113010000|23.55|23.55|0.00
D01|01040113020000|23.56|23.56|0.00
