H01|031203|2000000031|2021-08-31|LBREASK|400|3|
D01|3410000000||3019696648676|2691017262090
D01|3401000000||0|0
D01|3403040000||194234894764|359748920000
D01|3411990100|a. rincian penambahan lainnya ke-1|178890382548|0
D01|3411990100|b. rincian penambahan lainnya ke-2|0|0
D01|3411990100|isi rincian selanjutnya|0|0
D01|3411990000||373125277312|359748920000
D01|3412010000||54010679700|31069533413
D01|3412990100|a. rincian pengurangan lainnya ke-1|0|0
D01|3412990100|b. rincian pengurangan lainnya ke-2|0|0
D01|3412990100|isi rincian selanjutnya|0|0
D01|3412990000||54010679700|31069533413
D01|3411000099||3338811246288|3019696648677
D01|3420000000||1450187596887|1353573876887
D01|3412000000||319114597612|328679386587
D01|3421000000||2260868675283|288389600000
D01|3422000000||1811719083988|-520455260000
D01|3423000000||2218451785794|2491098123474
