H01|031203|2000000031|2035-12-31|RBREASUS|1205|0|
D01|12050100000000|10|11|12|13
D01|12050200000000|5|5|5|5
D01|12050300000000|15|16|17|18
D01|12050400000000|-1|-1|-1|-1
D01|12050401000000|7|7|7|7
D01|12050401010000|2|2|2|2
D01|12050401020000|1|1|1|1
D01|12050401030000|2|2|2|2
D01|12050401040000|2|2|2|2
D01|12050402000000|8|8|8|8
D01|12050402010000|1|1|1|1
D01|12050402020000|1|1|1|1
D01|12050402030000|1|1|1|1
D01|12050402040000|1|1|1|1
D01|12050402050000|1|1|1|1
D01|12050402060000|1|1|1|1
D01|12050402070000|1|1|1|1
D01|12050402080000|1|1|1|1
D01|12050500000000|3|3|3|3
D01|12050501000000|6|6|6|6
D01|12050501010000|1|1|1|1
D01|12050501020000|1|1|1|1
D01|12050501030000|1|1|1|1
D01|12050501040000|1|1|1|1
D01|12050501050000|1|1|1|1
D01|12050501060000|1|1|1|1
D01|12050502000000|3|3|3|3
D01|12050502010000|1|1|1|1
D01|12050502020000|1|1|1|1
D01|12050502030000|1|1|1|1
D01|12050600000000|3|3|3|3
D01|12050601000000|6|6|6|6
D01|12050601010000|2|2|2|2
D01|12050601020000|2|2|2|2
D01|12050601030000|2|2|2|2
D01|12050602000000|3|3|3|3
D01|12050602010000|1|1|1|1
D01|12050602020000|1|1|1|1
D01|12050602030000|1|1|1|1
