H01|030403|2500000099|2026-01-31|LBPPNJU|3200B|0|
D01|3200B10100|LO:e1101|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|44|33|22
D01|3200B10100|LO:e1101|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|4|3|2|44|33|22
D01|3200B10100|LO:e1101|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|33|33|22
D01|3200B10100|LO:e1101|3|4|1|3|4|1|3|4|1|3|4|1|3|4|1|3|4|1|3|4|1|3|4|1|3|4|1|3|4|1|3|4|1|33|44|11
D01|3200B10100|LO:e1101|4|3|1|4|3|1|4|3|1|4|3|1|4|3|1|4|3|1|4|3|1|4|3|1|4|3|1|4|3|1|4|3|1|44|33|11
D01|3200B10100|LO:e1101|5|2|2|5|2|2|5|2|2|5|2|2|5|2|2|5|2|2|5|2|2|5|2|2|5|2|2|5|2|2|5|2|2|55|22|22
D01|3200B10100|LO:e1101|5|2|3|5|2|3|5|2|3|5|2|3|5|2|3|5|2|3|5|2|3|5|2|3|5|2|3|5|2|3|5|2|3|55|22|33
D01|3200B10100|LO:e1101|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|3|3|2|33|33|22
D01|3200B10100|LO:e1101|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|33|11|22
D01|3200B10100|LO:e1101|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|22|11|11
