H01|031204|2000000041|2020-12-31|LBASRJS|607|1|
D01|6071010099|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|66|66
D01|6071010100|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|66|66
D01|6071010101|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|66|66
D01|6071010102|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|66|66
D01|6071010103|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|264|264
D01|6071010104|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|55|55
D01|6071010105|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|55|55
D01|6071010106|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|55|55
D01|6071010107|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|55|55
D01|6071010108|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|55|55
D01|6071010109|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|55|55
D01|6071010110|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|330|330
D01|6071010111|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-6|-66|-66
