H01|031203|2000000031|2021-08-31|LBREASK|501|0|
D01|1401010000|0.00|49404000000|0|0|0|0
D01|1401020100|1.20|1162332951644|13947995420|0|0|13947995420
D01|1401020200|2.10|54833000000|1151493000|0|0|1151493000
D01|1401020300|3.00|25415500000|762465000|0|0|762465000
D01|1401020400|4.50|0|0|0|0|0
D01|1401020500|9.00|56770000000|5109300000|0|0|5109300000
D01|1402010000|0.00|0|0|0|0|0
D01|1402020100|1.20|0|0|0|0|0
D01|1402020200|2.10|0|0|0|0|0
D01|1402020300|3.00|0|0|0|0|0
D01|1402020400|4.50|0|0|0|0|0
D01|1402020500|9.00|0|0|0|0|0
D01|1404010000|1.60|103509797173|1656156755|0|0|1656156755
D01|1404020000|2.80|55589525000|1556506700|0|0|1556506700
D01|1404030000|4.00|36982985000|1479319400|0|0|1479319400
D01|1404040000|6.00|0|0|0|0|0
D01|1404050000|12.00|0|0|0|0|0
D01|1410010000|1.60|0|0|0|0|0
D01|1410020000|2.80|0|0|0|0|0
D01|1410030000|4.00|0|0|0|0|0
D01|1410040000|6.00|0|0|0|0|0
D01|1410050000|12.00|0|0|0|0|0
D01|1405010000|1.60|0|0|0|0|0
D01|1405020000|2.80|0|0|0|0|0
D01|1405030000|4.00|0|0|0|0|0
D01|1405040000|6.00|0|0|0|0|0
D01|1405050000|12.00|0|0|0|0|0
D01|1406000000|0.00|425343649239|0|0|0|0
D01|1407010000|1.60|0|0|0|0|0
D01|1407020000|2.80|0|0|0|0|0
D01|1407030000|4.00|0|0|0|0|0
D01|1407040000|6.00|0|0|0|0|0
D01|1407050000|12.00|0|0|0|0|0
D01|1408000000|0.00|0|0|0|0|0
D01|1409000000|0.00|0|0|0|0|0
D01|1413000000|1.00|0|0|0|0|0
D01|1416010000|1.60|0|0|||0
D01|1416020000|2.80|0|0|||0
D01|1416030000|4.00|0|0|||0
D01|1416040000|6.00|0|0|||0
D01|1415010100|2.80|0|0|||0
D01|1415010200|4.00|0|0|||0
D01|1415020100|5.60|0|0|||0
D01|1415020200|8.00|0|0|||0
D01|1415030000|12.00|0|0|||0
D01|1419000000|0.00|0|0|||0
D01|1501000000|0.00|480663092572|0|||0
D01|1502000000|8.00|2126704289360|170136343149|||170136343149
D01|1504010000|0.00|5382714343882|0|||0
D01|1504020000|30.00|0|0|||0
D01|1505010000|2.80|452232546602|12662511305|||12662511305
D01|1505020100|2.80|0|0|||0
D01|1505020200|4.00|0|0|||0
D01|1505020300|6.00|0|0|||0
D01|1505020400|12.00|0|0|||0
D01|1505020500|15.00|0|0|||0
D01|1503010000|2.80|106560650730|2983698220|||2983698220
D01|1503020100|2.80|44243043180|1238805209|||1238805209
D01|1503020200|4.00|45077006123|1803080245|||1803080245
D01|1503020300|6.00|3366262811|201975769|||201975769
D01|1503020400|12.00|0|0|||0
D01|1503020500|15.00|0|0|||0
D01|1506010000|2.80|775035553766|21700995505|||21700995505
D01|1506020100|2.80|336203735882|9413704605|||9413704605
D01|1506020200|4.00|334638952671|13385558107|||13385558107
D01|1506020300|6.00|23957298964|1437437938|||1437437938
D01|1506020400|12.00|0|0|||0
D01|1506020500|15.00|0|0|||0
D01|1507010000|2.00|0|0|||0
D01|1507020000|25.00|0|0|||0
D01|1508000000|2.00|0|0|||0
D01|7301010000||12081578184599|260627346327|0|0|260627346327
