H01|031201|2000000011|2021-02-28|LBASRJK|104|3|
D01|1400040100|PT United Tractor Tbk |103|29435850000|0|29435850000|219314262050
D01|1400040100|PT Astra Argo Lestari Tbk|103|4312710000|0|4312710000|49162484800
D01|1400040100|PT Astra Internasional Tbk|103|75811820000|0|75811820000|533797145525
D01|1400040100|PT Astra Sedaya Finance |103|0|0|0|0
D01|1400040100|BANK PERMATA TBK PT|103|6526060000|0|6526060000|44776250000
D01|1400040100|PT Federal International Finance|103|0|0|0|0
D01|1400040100|PT Astra Otoparts Tbk |103|0|0|0|662088000
D01|1400040100|PT Astra Sedaya Finance |104|48593585900|0|48593585900|0
D01|1400040100|PT Federal International Finance|104|40075072000|0|40075072000|0
D01|1400040100|PT Bank Permata Tbk|101|0|0|0|215604744882
D01|1400040100|PT Bank Permata Syariah Tbk|101|0|0|0|14202201096
D01|1400040100|PT Bumi Serpong Damai Tbk |103|4687930000|0|4687930000|46442153500
D01|1400040100|PT Indocement Tunggal Prakarsa|103|16224930000|0|16224930000|101240685000
D01|1400040100|PT Indofood CBP Sukses Makmur Tbk|103|24319240000|0|24319240000|160411680000
D01|1400040100|PT Indofood Sukses Makmur Tbk|103|16768460000|0|16768460000|123907655000
D01|1400040100|PT Indomobil Sukses Internasional Tbk|103|897260000|0|897260000|5769360000
D01|1400040100|PP London Sumatra Indonesia |103|4259880000|0|4259880000|53956375000
D01|1400040100|PT Unilever Indonesia Tbk|103|55687640000|0|55687640000|356501684000
D01|1400040100|PT Indofood Sukses Makmur Tbk|104|72441450800|0|72441450800|0
D01|1400040100|PT LIPPO KARAWACI TBK |103|0|0|0|118287800
D01|1400040100|PT Matahari Department Store Tbk|103|6916000000|0|6916000000|50181600000
D01|1400040100|PT Lippo Cikarang|103|0|0|0|0
D01|1400040100|Bank Panin Indonesia|103|9940320000|0|9940320000|80400068000
D01|1400040100|PT Clipan Finance Indonesia Tbk |103|0|0|0|0
D01|1400040100|PT Panin Financial Tbk |103|0|0|0|0
D01|1400040100|PT Bank Pan Indonesia Tbk|101|20183652546|0|20183652546|0
D01|1400040100|PT Bank Panin Dubai Syariah Tbk|101|0|0|0|27848280242
D01|1400040100|PT Wijaya Karya Beton Tbk|103|1800550000|0|1800550000|12413264000
D01|1400040100|PT Wijaya Karya Tbk|103|11055570000|0|11055570000|103775080280
D01|1400040100|Bank Central Asia|103|141697400000|0|141697400000|844170390000
D01|1400040100|PT BCA Finance|104|60071988000|0|60071988000|0
D01|1400040100|PT Bank BCA Syariah Tbk|101|0|0|0|7504188713
D01|1400040100|PT HM Sampoerna Tbk |103|77391710000|0|77391710000|455381816750
D01|1400040100|PT Sampoerna Agro |103|0|0|0|0
D01|1400040100|PT Waskita Karya  Beton Precast Tbk|103|1808000000|0|1808000000|9490277600
D01|1400040100|PT Waskita Karya Tbk|103|9699820000|0|9699820000|59779836000
D01|1400040200|||740606899246|0|740606899246|3576811858238
