H01|031204|2000000041|2020-12-31|LBASRJS|228|3|
D01|2280050101|2122|2122|2122|2122|2122|2122|2122|2122|2122|12732|2|0
D01|2280050102|2122|2122|2122|2122|2122|2122|2122|2122|2122|12732|2|0
D01|2280050103|2122|2122|2122|2122|2122|2122|2122|2122|2122|12732|2|0
D01|2280050104|2122|2122|2122|2122|2122|2122|2122|2122|2122|12732|2|0
D01|2280050105|2122|2122|2122|2122|2122|2122|2122|2122|2122|12732|2|0
D01|2280050106|2122|2122|2122|2122|2122|2122|2122|2122|2122|12732|2|0
D01|2280050107|12732|12732|12732|12732|12732|12732|12732|12732|12732|76392|12|0
D01|2280050108|1|1|1|1|1|1|1|1|1|6|0|0
D01|2280050109|1|1|1|1|1|1|1|1|1|6|0|0
D01|2280050110|12733|12733|12733|12733|12733|12733|12733|12733|12733|76398|12|0
