H01|031201|2000000011|2021-02-28|LBASRJK|503|1|
D01|1401000000|581969580000|0|0|0|0|
D01|1402000000|0|0|0|0|0|
D01|1403000000|1181985670000|0|0|0|0|
D01|1404000000|481114810000|1026728980000|498322910000|89707460000|723943650000|
D01|1405000000|0|0|0|0|0|
D01|1406000000|0|28692650000|0|1785594780000|12897457950000|
D01|1407000000|0|29621060000|0|0|870122080000|
D01|1408000000|0|0|0|0|0|
D01|1409000000|0|0|0|0|0|
D01|1410000000|4094737730000|0|0|0|0|
D01|1411000000|0|0|0|0|0|
D01|1412000000|0|0|0|0|0|
D01|1413000000|0|0|0|0|0|
D01|1414000000|0|0|0|0|934907240000|
D01|1415000000|0|0|0|0|0|
D01|1416000000|0|0|0|0|0|
D01|1417000000|0|0|0|0|0|
D01|1418000000|0|0|0|0|0|
D01|1419000000|0|0|0|0|868380670000|
D01|1420000000|0|0|0|0|0|
D01|1421000000|0|0|0|0|0|
D01|1499000000|0|0|0|0|0|
D01|1400000000|6339807790000|1085042690000|498322910000|1875302240000|16294811590000|
D01|1501000000|107277030000|0|0|0|0|
D01|1502000000|162060240000|0|0|0|0|
D01|1503000000|0|0|0|0|0|
D01|1504000000|199779840000|0|0|0|0|
D01|1505000000|3077240000|0|0|0|0|
D01|1506000000|31267700000|0|0|0|0|
D01|1507000000|0|0|0|0|0|
D01|1508000000|387136760000|0|0|0|0|
D01|1509000000|0|0|0|0|2701480000|
D01|1510000000|0|0|0|0|0|
D01|1511000000|0|0|0|0|0|
D01|1599000000|0|0|0|0|0|
D01|1500000000|890598810000|0|0|0|2701480000|
D01|1000000000|7230406600000|1085042690000|498322910000|1875302240000|16297513070000|
D01|2401000000|50872420000|0|0|0|0|
D01|2402000000|0|0|0|0|0|
D01|2403000000|250061290000|0|0|0|0|
D01|2404000000|140564120000|0|0|0|0|
D01|2405000000|101990940000|0|0|0|0|
D01|2406000000|81706580000|97270000|0|0|0|
D01|2407000000|1153668516791|57481243503|107651107435|0|454271036|
D01|2400000000|1778863866791|57578513503|107651107435|0|454271036|
D01|2501000000|425127380000|861472900000|752136650000|1050758940000|12792462870000|
D01|2502000000|297107450000|0|0|0|0|
D01|2503000000|233995370000|0|0|0|0|
D01|2504000000|0|0|0|0|0|
D01|2500000000|956230200000|861472900000|752136650000|1050758940000|12792462870000|
D01|2000000000|2735094066791|919051413503|859787757435|1050758940000|12792917141036|
D01|9000000000|-4495312533209|-165991276497|361464847435|-824543300000|-3504595928964|
D01|7302010000|0|0|14458593897|0|0|14458593897
D01|2501020000||||||406214239897
D01|7302020100||||||1.00
D01|7302020000||||||4062142399
D01|7302000000||||||18520736296
