H01|031201|2000000011|2021-02-28|LBASRJK|605|1|
D01|6050000001| Pro Invest|IND|IDR|REG|0|18814585100|0|0|18814585100|18814585100|0|2229634128|0|4529633504|0|5248871790|12008139422
D01|6050000001| Manulife Link|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|65269326|65269326
D01|6050000001| Manulife Investa|IND|IDR|REG|0|147060221997|30663074534|29370311028|148352985502|177723296531|0|17427463222|0|35404921510|0|20014596012|72846980744
D01|6050000001| Equity Protection|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|1196720040|1196720040
D01|6050000001| Arjuna Imperial Protection|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|0|0
D01|6050000001|  Max Link|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|783133487|783133487
D01|6050000001| Max Protection Plan Fund|IND|IDR|REG|0|67195955277|14010821941|13420121903|67786655315|81206777218|0|7963098541|0|16177505311|0|9145232343|33285836195
D01|6050000001| Max Link Plus Fund|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|11185039208|11185039208
D01|6050000001|  Equity Protection Plus Fund|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|386384946|386384946
D01|6050000001|  Study Link|IND|IDR|REG|0|12569740678|2620877964|2510381042|12680237601|15190618642|0|1489584950|0|3026179861|0|1710716047|6226480858
D01|6050000001| Retire Link|IND|IDR|REG|0|8002657509|1668609501|1598260474|8073006536|9671267010|0|948359914|0|1926649213|0|1089145351|3964154478
D01|6050000001|  Select Invest Plus|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|16911983207|16911983207
D01|6050000001| Protect Invest Plus|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|3335790031|3335790031
D01|6050000001|  ING Prime Invest|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|0|0
D01|6050000001|  Zurich Link|IND|IDR|SIN|0|0|0|0|0|0|0|0|0|0|0|534788212|534788212
