H01|030491|2300000099|2023-05-31|LBPNMK|0000|0|
D01|000001010000|PT PNM (Persero)
D01|000001020000|010611788093000
D01|000001030000|Jakarta
D01|000001040000|20220630
D01|000001050100|3
D01|000001050200|3
D01|000001050300|1
D01|000001060000|Asdfafsdf
D01|000001070100|1
D01|000001070200|2
D01|000001070301|1
D01|000001070302|1
D01|000001070303|1
D01|000001080000|500
D01|000001080100|200
D01|000001080200|50
D01|000001080301|100
D01|000001080302|50
D01|000001080303|100
D01|000002010100|Asdfafsdf
D01|000002010200|Asdfafsdf
D01|000002010300|021123123123
D01|000002010400|081111111111
D01|000002010500|asdasd@asdsad.com
D01|000002020100|Asdfafsdf
D01|000002020200|Asdfafsdf
D01|000002020300|021123123123
D01|000002020400|081111111111
D01|000002020500|asdasd@asdsad.com
