H01|030491|2300000099|2023-05-31|LBPNMU|1200|0|
D01|1200010000|50
D01|1200010100|10
D01|1200010200|10
D01|1200010300|10
D01|1200010400|10
D01|1200010500|10
D01|1200020000|80
D01|1200020100|10
D01|1200020200|10
D01|1200020300|10
D01|1200020400|10
D01|1200020500|10
D01|1200020600|10
D01|1200020700|10
D01|1200020800|10
D01|1200030000|90
D01|1200030100|10
D01|1200030200|20
D01|1200030300|10
D01|1200030400|10
D01|1200030500|10
D01|1200030600|30
D01|1200040000|210
D01|1200040100|10
D01|1200040200|20
D01|1200040300|30
D01|1200040400|40
D01|1200040500|50
D01|1200040600|60
D01|1200040700|50
D01|1200040701|10
D01|1200040702|10
D01|1200040703|10
D01|1200040704|10
D01|1200040705|10
D01|1200040800|80
D01|1200050000|10
D01|1200060000|30
D01|1200060100|10
D01|1200060200|20
D01|1200070000|10
D01|1200080000|40
D01|1200080100|10
D01|1200080200|30
D01|1200080201|10
D01|1200080202|20
D01|1200090000|100
D01|1200100000|10
D01|1200110000|20
