H01|031304|2000001138|2022-12-31|RBDPLKS|0703|2|TEST-06-RBDPLKS-4Net
D01|0703010000|1599258|1030619|1500071|1129806|1685905|1967157|1657462|1995600|1807086|1122946|1890778|1039254|1021929|1175281|1873164|324046
D01|0703020000|1734206|1723462|1245461|2212207|1722472|1990060|1540030|2172502|1485385|1907302|1552638|1840049|1205240|1196904|1578305|823839
D01|0703030000|1900344|1452174|1790404|1562114|1175918|1857975|1906600|1127293|1273557|1352416|1787457|838516|1790684|1586147|1891262|1485569
D01|0703040000|1907920|1668484|1349358|2227046|1569795|1082193|1332471|1319517|1883042|1390304|1035788|2237558|1935753|1277973|1790169|1423557
D01|0703050000|1913110|1295688|1469571|1739227|1337752|1042562|1915257|465057|1214651|1614276|1227487|1601440|1953351|1746689|1374710|2325330
D01|0703060000|1589379|1761220|1112833|2237766|1316909|1324538|1337722|1303725|1491914|1335305|1297684|1529535|1126670|1993691|1870732|1249629
D01|0703070000|1960533|1539000|1717416|1782117|1567334|1234867|1614349|1187852|1837183|1397779|1516224|1718738|1666619|1568861|1900807|1334673
D01|0703080000|1828128|1938818|1020588|2746358|1017987|1280716|1545564|753139|1508077|1596814|1322956|1781935|1284979|1567943|1590763|1262159
D01|0703090000|1954708|1001375|1460910|1495173|1981938|1621954|1182812|2421080|1555002|1994719|1950397|1599324|1180151|1003672|1891950|291873
D01|0703100000|1662240|1427540|1395195|1694585|1260085|1797435|1262868|1794652|1863975|1647846|1360005|2151816|1281084|1116846|1521418|876512
D01|0703110000|1688706|1009621|1350193|1348134|1458477|1435847|1862057|1032267|1467650|1390570|1242195|1616025|1391901|1176277|1209539|1358639
D01|0703120000|1441970|1387590|1237230|1592330|1553471|1349262|1778344|1124389|1954870|1079295|1500259|1533906|1857834|1847153|1655197|2049790
D01|0703130000|1610048|1804010|1467093|1946965|1773336|1901083|1851841|1822578|1142900|1143598|1821294|465204|1258161|1479725|1291673|1446213
D01|0703140000|1842512|1389805|1442679|1789638|1298852|1780260|1207166|1871946|1853896|1127456|1682994|1298358|1491235|1648445|1973999|1165681
D01|0703150000|1250224|1879101|1116178|2013147|1112336|1781281|1637797|1255820|1540599|1358763|1055253|1844109|1304351|1189055|1527336|966070
D01|0703160000|1727799|1170426|1396472|1501753|1050140|1489127|1813275|725992|1615759|1454829|1395624|1674964|1692825|1090645|1011941|1771529
D01|0703170000|1668510|1364479|1860132|1172857|1146873|1522719|1913717|755875|1333631|1189962|1081566|1442027|1068644|1156261|1173315|1051590
D01|0703180000|1748194|1546936|1606694|1688436|1440796|1652311|1470769|1622338|1857316|1451349|1530743|1777922|1330333|1726598|1122560|1934371
D01|0703190000|1053065|1037838|1126377|964526|1101136|1769362|1495635|1374863|1844283|1612094|1518667|1937710|1571052|1147953|1357430|1361575
D01|0703200000|1404131|1434102|1041189|1797044|1924479|1486780|1059326|2351933|1875605|1306001|1502365|1679241|1925306|1000146|1324597|1600855
D01|0703220000|33484985|28862288|27706044|34641229|28495991|31367489|31385062|28478418|32406381|28473624|29272374|31607631|29338102|27696265|30930867|26103500
