H01|031406|2200000099|2023-01-31|LBPPIS|0041|1|
D01|0041010100|6|6|12|6|6|12|5|5|10|34
D01|0041010200|6|6|12|6|6|12|5|5|10|34
D01|0041010300|4|4|8|5|5|10|5|5|10|28
D01|0041010400|2|2|4|4|4|8|5|5|10|22
D01|0041010500|3|3|6|4|4|8|5|5|10|24
D01|0041020000|21|21|42|25|25|50|25|25|50|142
D01|0041030100|2|2|4|2|2|4|1|1|2|10
D01|0041030200|2|2|4|2|2|4|1|1|2|10
D01|0041030300|2|2|4|2|2|4|1|1|2|10
D01|0041030400|2|2|4|2|2|4|1|1|2|10
D01|0041030500|2|2|4|2|2|4|1|1|2|10
D01|0041040000|10|10|20|10|10|20|5|5|10|50
D01|0041050000|31|31|62|35|35|70|30|30|60|192
