H01|031202|2000000021|2021-12-31|RBASRUK|0201|0|
D01|4101000000||222333|22222333|9995.07
D01|5805000000||222333|22222333|9995.07
D01|7000000098||222333|22222333|9995.07
D01|7002000000||222333|22222333|9995.07
D01|7001000000||222333|22222333|9995.07
D01|7004000000||222333|22222333|9995.07
D01|7003000000||222333|22222333|9995.07
D01|7005000000||222333|22222333|9995.07
D01|7006000000||222333|22222333|9995.07
D01|0201100000|indikator Lain 1|222333|22222333|9995.07
D01|0201100000|indikator Lain 2|222333|22222333|9995.07
D01|0201100000|indikator Lain 3|222333|22222333|9995.07
