H01|031405|2100000099|2023-05-31|LBPPIK|5310|0|
D01|53100101000000|2|2|2|2|2|2|12|0|0|0|0|0|0|0|12
D01|53100101010000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
D01|53100101010100|2|2|2|2|2|2|12|2|2|2|2|2|2|12|24
D01|53100101010200|2|2|2|2|2|2|12|2|2|2|2|2|2|12|24
D01|53100101020000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
D01|53100101020100|3|3|3|3|3|3|18|2|2|2|2|2|2|12|30
D01|53100101020200|3|3|3|3|3|3|18|2|2|2|2|2|2|12|30
D01|53100101030000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
D01|53100101030100|2|2|2|2|2|2|12|2|2|2|2|2|2|12|24
D01|53100101030200|2|2|2|2|2|2|12|2|2|2|2|2|2|12|24
D01|53100101040000|1|1|1|1|1|1|6|0|0|0|0|0|0|0|6
D01|53100101040100|2|2|2|2|2|2|12|2|2|2|2|2|2|12|24
D01|53100101040200|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101050000|1|1|1|1|1|1|6|0|0|0|0|0|0|0|6
D01|53100101050100|2|2|2|2|2|2|12|2|2|2|2|2|2|12|24
D01|53100101050200|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060000|5|5|5|5|5|5|30|10|10|10|10|10|10|60|90
D01|53100101060100|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060101|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060102|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060200|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060201|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060202|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060300|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060301|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060302|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060400|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060401|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060402|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060500|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060501|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060502|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100102000000|6|6|6|6|6|6|36|7|7|7|7|7|7|42|78
D01|53100200000000|13|13|13|13|13|13|78|17|17|17|17|17|17|102|180
D01|53100301000000|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100302000000|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100303000000|1|1|1|1|1|1|6|-1|-1|-1|-1|-1|-1|-6|0
D01|53100400000000|4|4|4|4|4|4|24|3|3|3|3|3|3|18|42
D01|53100500000000|17|17|17|17|17|17|102|20|20|20|20|20|20|120|222
