H01|031303|2000004778|2022-12-31|RBDPPKS|0702|2|TEST-05-RBDPPKS-4Net
D01|0701020100|2|9.52|1|2.56|1|5.00|2|5.00
D01|0701020200|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701020300|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701020400|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701020500|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701020600|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701020700|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701020800|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701020900|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021000|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021100|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021200|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021300|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021400|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021500|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021600|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021700|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021800|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701021900|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701022000|1|4.76|2|5.13|1|5.00|2|5.00
D01|0701022100|21|100.00|39|100.00|20|100.00|40|100.00
