H01|031406|2200000099|2023-01-31|LBPPIS|5310|2|LBPPIS-1
D01|53100101060000|5|5|5|5|5|5|30|10|10|10|10|10|10|60|90
D01|53100101060100|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060101|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060102|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060200|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060201|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060202|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060300|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060301|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060302|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060400|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060401|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060402|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060500|1|1|1|1|1|1|6|2|2|2|2|2|2|12|18
D01|53100101060501|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100101060502|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100101060600|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100102000000|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100200000000|7|7|7|7|7|7|42|12|12|12|12|12|12|72|114
D01|53100301000000|2|2|2|2|2|2|12|3|3|3|3|3|3|18|30
D01|53100302000000|1|1|1|1|1|1|6|1|1|1|1|1|1|6|12
D01|53100303000000|1|1|1|1|1|1|6|-1|-1|-1|-1|-1|-1|-6|0
D01|53100400000000|4|4|4|4|4|4|24|3|3|3|3|3|3|18|42
D01|53100500000000|11|11|11|11|11|11|66|15|15|15|15|15|15|90|156
